PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,ImportDate,SO2,SiteId,time,Pollutant
6,EPA_COPY,2020-09-25 09:00,1,2.3,1,24.632203,,8.4,良好,Dongshan,2,冬山,一般測站,0.3,19,6,24.632203,0.3,2020-09-25T01:00:00Z,264,19,121.792928,121.792928,,10,2020-09-25,EPA-Dongshan,3,17,宜蘭縣,2020-09-25 09:09:34.493000,1,66,01:00:00,
6,EPA_COPY,2020-09-25 09:00,1,1.3,3,23.913,34,15,良好,Nantou,2.9,南投,一般測站,0.4,27,11,23.913,0.64,2020-09-25T01:00:00Z,37,10,120.685306,120.685306,29,18,2020-09-25,EPA-Nantou,3,19,南投縣,2020-09-25 09:09:34.493000,2.1,36,01:00:00,
16,EPA_COPY,2020-09-25 09:00,1,1.8,4,22.565833,24,21,普通,Xiaogang,12,小港,一般測站,0.4,51,20,22.565833,0.61,2020-09-25T01:00:00Z,26,,120.337736,120.337736,15,34,2020-09-25,EPA-Xiaogang,3,3,高雄市,2020-09-25 09:09:34.493000,4.4,58,01:00:00,細懸浮微粒
8,EPA_COPY,2020-09-25 09:00,1,3.6,2,24.565269,52,8.2,良好,Miaoli,-0.1,苗栗,一般測站,0.3,43,7,24.565269,0.34,2020-09-25T01:00:00Z,45,5,120.8202,120.8202,46,8.1,2020-09-25,EPA-Miaoli,3,5,苗栗縣,2020-09-25 09:09:34.493000,1.3,26,01:00:00,
3,EPA_COPY,2020-09-25 09:00,1,4.6,1,24.225628,59,5.6,良好,Shalu,1.2,沙鹿,一般測站,0.3,47,3,24.225628,0.3,2020-09-25T01:00:00Z,355,5,120.568794,120.568794,51,6.7,2020-09-25,EPA-Shalu,3,0,臺中市,2020-09-25 09:09:34.493000,0.9,29,01:00:00,
11,EPA_COPY,2020-09-25 09:00,1,2.4,3,22.984581,27,14,良好,Tainan,4.5,臺南,一般測站,0.3,34,15,22.984581,0.48,2020-09-25T01:00:00Z,37,17,120.202617,120.202617,25,18,2020-09-25,EPA-Tainan,3,29,臺南市,2020-09-25 09:09:34.493000,2.4,46,01:00:00,
10,EPA_COPY,2020-09-25 09:00,1,3.8,2,24.696969,57,8.6,良好,Toufen,1.8,頭份,工業測站,0.2,45,11,24.696969,0.27,2020-09-25T01:00:00Z,67,17,120.898572,120.898572,49,10,2020-09-25,EPA-Toufen,3,18,苗栗縣,2020-09-25 09:09:34.493000,1.2,25,01:00:00,
8,EPA_COPY,2020-09-25 09:00,1,3.6,5,23.925175,54,2.7,良好,Erlin,1.2,二林,一般測站,0.3,41,8,23.925175,0.29,2020-09-25T01:00:00Z,32,24,120.409653,120.409653,44,4,2020-09-25,EPA-Erlin,3,26,彰化縣,2020-09-25 09:09:34.493000,3.9,35,01:00:00,
19,EPA_COPY,2020-09-25 09:00,1,1.1,2,23.968842,28,6.4,普通,Puli,1.5,埔里,其他測站,0.4,58,16,23.968842,0.35,2020-09-25T01:00:00Z,313,11,120.967903,120.967903,21,8,2020-09-25,EPA-Puli,3,10,南投縣,2020-09-25 09:09:34.493000,2.2,72,01:00:00,細懸浮微粒
15,EPA_COPY,2020-09-25 09:00,1,1.3,2,25.105417,46,26,良好,Shilin,3.1,士林,一般測站,0.3,49,24,25.105917,0.56,2020-09-25T01:00:00Z,165,5,121.515389,121.5145,47,29,2020-09-25,EPA-Shilin,3,,臺北市,2020-09-25 09:09:34.493000,1.4,11,01:00:00,
