gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,74DA38B05178,N/A,14,24,100,NA,24.612,23.87,120.87,2020-09-25,74DA38B05178,jswang,01:20:12,18,2020-09-25T01:20:12Z,7.05,GAM/21/7.27,,,,,,
9,1,2,AirBox,74DA38B05184,N/A,3,4,48,taichuang,24.143,28.25,120.649,2020-09-25,74DA38B05184,Yoan 室內,01:19:17,2,2020-09-25T01:19:17Z,3,SVR/30/1.29,,,,,,
9,1,2,AirBox,74DA38B0519C,N/A,30,37,100,tainan,22.999,28.86,120.159,2020-09-25,74DA38B0519C,安平古堡_4G,01:17:06,20,2020-09-25T01:17:06Z,17.63,GAM/14/4.77,,,,,,
9,1,2,AirBox,74DA38B051A2,N/A,25,28,100,new_taipei,25.066,27,121.636,2020-09-25,74DA38B051A2,EChouse,01:21:31,19,2020-09-25T01:21:31Z,14.22,SVR/30/13.07,,,,,,
9,1,2,AirBox,74DA38B051B0,N/A,34,40,100,yilan,24.8,26.87,121.783,2020-09-25,74DA38B051B0,青天計畫2.0 - 礁溪玉田村踏踏路,01:21:36,25,2020-09-25T01:21:36Z,10.34,GAM/7/6.88,,,,,,
9,1,2,AirBox,74DA38B051B8,N/A,37,45,84,kaohsiung,22.607,31.25,120.562,2020-09-25,74DA38B051B8,myPM2.5_B8,01:19:54,27,2020-09-25T01:19:54Z,20.61,GAM/14/10.56,,,,,,
9,1,2,AirBox,74DA38B051CA,N/A,37,44,95,taipei,25.028,26.37,121.494,2020-09-25,74DA38B051CA,小威哥的家,01:19:26,26,2020-09-25T01:19:26Z,20.12,SVR/30/2.54,,,,,,
9,1,2,AirBox,74DA38B051F0,N/A,16,17,100,yunlin,23.797,26.87,120.223,2020-09-25,74DA38B051F0,許厝分校,01:21:33,12,2020-09-25T01:21:33Z,11.26,GAM/7/34.11,,,,,,
9,1,2,AirBox,74DA38B051F4,N/A,0,0,67,taipei,25.034,28.36,121.525,2020-09-25,74DA38B051F4,James,01:21:30,0,2020-09-25T01:21:30Z,0,SVR/30/2.24,,,,,,
9,1,2,AirBox,74DA38B0520C,N/A,22,24,73,new_taipei,24.998,27.12,121.511,2020-09-25,74DA38B0520C,Joan,01:17:16,17,2020-09-25T01:17:16Z,12.51,SVR/30/5.46,,,,,,
9,1,2,AirBox,74DA38B05212,N/A,7,8,100,taichuang,24.252,26,120.698,2020-09-25,74DA38B05212,全家大漢店,01:16:08,6,2020-09-25T01:16:08Z,7,SVR/30/12.53,,,,,,
9,1,2,AirBox,74DA38B05216,N/A,31,38,97,taipei,25.04,23,121.517,2020-09-25,74DA38B05216,台大醫院5,01:16:00,22,2020-09-25T01:16:00Z,15.13,SVR/30/1.19,,,,,,
9,1,2,AirBox,74DA38B0521A,N/A,33,39,82,miaoli,25,25.87,121.363,2020-09-25,74DA38B0521A,A009,01:21:58,23,2020-09-25T01:21:58Z,N/A,N/A,,,,,,
9,1,2,AirBox,74DA38B0521C,N/A,44,56,90,miaoli,25.017,25.37,121.259,2020-09-25,74DA38B0521C,A006,01:21:05,31,2020-09-25T01:21:05Z,N/A,N/A,,,,,,
9,1,2,AirBox,74DA38B0522A,N/A,28,30,91,miaoli,24.683,26,120.881,2020-09-25,74DA38B0522A,Donping,01:20:04,20,2020-09-25T01:20:04Z,13.71,GAM/21/14.5,,,,,,
9,1,2,AirBox,嘉義市立民生國中(2017),[600]嘉義市西區新民路601號,20,22,100,chiayi_city,23.464,27.12,120.439,2020-09-25,74DA38B0522C,嘉義市民生國中,01:17:14,16,2020-09-25T01:17:14Z,N/A,N/A,,,,,,
9,1,2,AirBox,74DA38B05240,N/A,4,5,76,taichuang,24.204,28.11,120.561,2020-09-25,74DA38B05240,airsong,01:18:44,3,2020-09-25T01:18:44Z,4,SVR/30/9.96,,,,,,
9,1,2,AirBox,Taoyuan06(2017),N/A,31,34,82,taoyuan,24.973,26.12,121.097,2020-09-25,74DA38B05248,桃園市環教學會新屋站,01:21:52,22,2020-09-25T01:21:52Z,14.94,SVR/7/11.01,,,,,,
9,1,2,AirBox,74DA38B05260,N/A,27,31,82,taipei,25.041,24.5,121.518,2020-09-25,74DA38B05260,台大醫院4,01:20:45,19,2020-09-25T01:20:45Z,13.3,SVR/30/1.21,,,,,,
9,1,2,AirBox,74DA38B05262,N/A,39,49,100,taipei,25.042,23.37,121.516,2020-09-25,74DA38B05262,台大醫院8,01:16:15,27,2020-09-25T01:16:15Z,20.62,SVR/30/0.98,,,,,,
9,1,2,AirBox,74DA38B0526A,N/A,6,7,59,new_taipei,24.958,20.62,121.497,2020-09-25,74DA38B0526A,4樓,01:21:19,5,2020-09-25T01:21:19Z,6,GAM/30/7.22,,,,,,
9,1,2,AirBox,74DA38B0527A,N/A,17,18,79,yilan,24.655,26.25,121.766,2020-09-25,74DA38B0527A,青天計畫2.0 - 順安守望相助隊,01:21:14,15,2020-09-25T01:21:14Z,10.54,GAM/7/10.54,,,,,,
9,1,2,AirBox,74DA38B0527C,N/A,14,15,83,yilan,24.669,27.25,121.721,2020-09-25,74DA38B0527C,桃園市環教學會宜蘭站,01:16:35,10,2020-09-25T01:16:35Z,9.86,GAM/7/9.14,,,,,,
9,1,2,AirBox,74DA38B052AC,N/A,29,35,100,tainan,22.994,30.61,120.161,2020-09-25,74DA38B052AC,安平港濱歷史公園_4G,01:19:18,19,2020-09-25T01:19:18Z,17.84,GAM/14/4.41,,,,,,
