hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,40,acelink.edimax,161,162,100,臺南市市立大文國小,1,0,23.15038132,28.5,2020-05-23T02:17:21Z,0,120.1536375,臺南市七股區大埕里大寮36之2號,2020-05-23,08BEAC0A047C,0,79.97,v1.04,0,02:17:21,AI-1003WN,BRR/14/19.1,,
0,9,AirBox,2,8,acelink.edimax,12,13,86,臺中市立光復國中小,1,0,24.04397822,27.7,2020-05-23T02:18:51Z,0,120.689895,臺中市霧峰區南柳里柳豐路535號,2020-05-23,08BEAC09FFBE,0,6.27,v1.06,0,02:18:51,AI-1003WN,BRR/30/12.99,,
0,9,AirBox,2,9,acelink.edimax,13,13,100,桃園市市立茄苳國小,1,0,24.9645944,24.8,2020-05-23T02:19:44Z,0,121.2777675,桃園市八德區永豐路155號,2020-05-23,08BEAC0A047A,0,6.94,v1.06,0,02:19:44,AI-1003WN,BRR/30/4.35,,
,9,AirBox,2,3,,3,3,100,台東縣縣立瑞豐國小,1,,22.978,28.36,2020-05-23T02:15:14Z,,121.137,[955]臺東縣鹿野鄉瑞豐村中山路67號,2020-05-23,74DA38F20AAC,,2.45,,,02:15:14,,BRR/14/24.79,臺東縣瑞豐國小觀測站,taitung
0,9,AirBox,2,5,acelink.edimax,10,11,83,臺中市立豐洲國小,1,0,24.26235666,27.2,2020-05-23T02:17:18Z,0,120.70418,臺中市神岡區豐洲路482號,2020-05-23,08BEAC09FFBA,0,8.25,v1.06,0,02:17:18,AI-1003WN,Theil-Sen/14/3.86,,
0,9,AirBox,2,14,acelink.edimax,30,34,100,臺南市市立龍崎國中,1,0,22.96851238,27.7,2020-05-23T02:17:10Z,0,120.3609613,臺南市龍崎區新市子258號,2020-05-23,08BEAC0A047E,0,14.36,v1.06,0,02:17:10,AI-1003WN,BRR/14/16.31,,
0,9,AirBox,2,22,acelink.edimax,37,45,82,雲林縣縣立豐榮國小,1,0,23.79183769,27.1,2020-05-23T02:19:22Z,0,120.311746,雲林縣崙背鄉豐榮村豐榮路廿一號,2020-05-23,08BEAC09FFBC,0,64.16,v1.06,0,02:19:22,AI-1003WN,Theil-Sen/21/25.35,,
0,9,AirBox,2,13,acelink.edimax,23,24,90,嘉義縣縣立忠和國中,1,0,23.4252309,27.1,2020-05-23T02:16:11Z,0,120.4514224,嘉義縣水上鄉忠和村6之2號,2020-05-23,08BEAC0A0612,0,17.68,v1.06,0,02:16:11,AI-1003WN,BRR/30/4.31,,
0,9,AirBox,2,3,acelink.edimax,7,7,80,桃園市市立楊明國小,1,0,24.9113853035,26.3,2020-05-23T02:13:54Z,0,121.158530451,桃園市楊梅區中山北路一段390巷50號,2020-05-23,08BEAC0A0610,0,N/A,v1.06,0,02:13:54,AI-1003WN,N/A,,
0,9,AirBox,2,5,acelink.edimax,7,7,89,臺中市立永安國小,1,0,24.18430409,27.1,2020-05-23T02:16:31Z,0,120.6248949,臺中市西屯區西屯路三段133號,2020-05-23,08BEAC0A0376,0,3.32,v1.06,0,02:16:31,AI-1003WN,BRR/30/3.95,,
