PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,SO2,SiteId,time,Pollutant
2,EPA_COPY,2020-05-23 10:00,1,0.8,2,25.012972,30,18,▆,Banqiao,2,狾爵,代,0.3,30,2,25.012972,0.45,2020-05-23T02:00:00Z,156,5,121.458667,121.458667,32,20,2020-05-23,EPA-Banqiao,3,7,穝カ,2.2,6,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.5,2,25.037972,37,17,▆,Xinzhuang,2.1,穝缠,代,0.3,35,5,25.037972,0.45,2020-05-23T02:00:00Z,135,5,121.4325,121.4325,38,19,2020-05-23,EPA-Xinzhuang,3,9,穝カ,1.8,7,02:00:00,
1,EPA_COPY,2020-05-23 10:00,1,,1,25.1645,44,4.5,▆,Tamsui,1.1,睭,代,0.2,44,,25.1645,0.2,2020-05-23T02:00:00Z,,5,121.449239,121.449239,47,5.6,2020-05-23,EPA-Tamsui,3,0,穝カ,1.5,10,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,2.2,2,24.382942,33,4,▆,Sanyi,0.7,竡,代,0.2,27,,24.382942,0.19,2020-05-23T02:00:00Z,15,5,120.758833,120.758833,29,4.7,2020-05-23,EPA-Sanyi,3,4,璢郡,1.3,27,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,3.3,2,25.077197,48,6.4,▆,Linkou,1.4,狶,代,0.2,48,,25.07857,0.18,2020-05-23T02:00:00Z,50,5,121.376869,121.365703,52,7.8,2020-05-23,EPA-Linkou,3,3,穝カ,1.4,9,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.8,1,23.045083,24,0.9,▆,Guanshan,1.1,闽,ㄤ代,,16,,23.045083,,2020-05-23T02:00:00Z,194,5,121.161933,121.161933,17,2,2020-05-23,EPA-Guanshan,3,2,籓狥郡,0.3,80,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,5.2,2,25.179667,58,1.8,炊硄,Wanli,0.4,窾ń,代,0.1,64,5,25.179667,0.12,2020-05-23T02:00:00Z,20,16,121.689881,121.689881,59,2.1,2020-05-23,EPA-Wanli,3,17,穝カ,1.8,3,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,2,1,24.805619,43,11,▆,Hsinchu,2.8,穝λ,代,0.3,41,4,24.805619,0.39,2020-05-23T02:00:00Z,42,5,120.972075,120.972075,44,14,2020-05-23,EPA-Hsinchu,3,4,穝λカ,1.5,24,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.9,1,22.883583,,4.1,▆,Meinong,0.6,緻,代,0.2,29,4,22.883583,0.29,2020-05-23T02:00:00Z,209,10,120.530542,120.530542,31,4.7,2020-05-23,EPA-Meinong,3,11,蔼动カ,1.4,47,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1.2,2,24.747917,42,4.7,▆,Yilan,0.9,﹜孽,代,0.2,26,2,24.747917,0.18,2020-05-23T02:00:00Z,118,6,121.746394,121.746394,28,5.5,2020-05-23,EPA-Yilan,3,7,﹜孽郡,1.8,65,02:00:00,
7,EPA_COPY,2020-05-23 10:00,1,3.1,2,23.753506,38,6.8,▆,Mailiao,1.1,沉糳,穨代,0.2,27,8,23.753506,0.19,2020-05-23T02:00:00Z,3,15,120.251825,120.251825,29,7.9,2020-05-23,EPA-Mailiao,3,22,冻狶郡,3,83,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,1.7,2,24.162197,39,8.9,▆,Xitun,1.5,﹁べ,代,0.3,23,4,24.162197,0.28,2020-05-23T02:00:00Z,352,6,120.616917,120.616917,25,10,2020-05-23,EPA-Xitun,3,8,籓いカ,1.4,32,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.4,2,23.971306,22,7.4,▆,Hualien,3.1,浆,代,0.2,15,,23.971306,0.31,2020-05-23T02:00:00Z,103,12,121.599769,121.599769,16,11,2020-05-23,EPA-Hualien,3,7,浆郡,1,63,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,1.1,3,25.05,34,19,▆,Songshan,3.7,猀,代,0.3,38,5,25.05,0.34,2020-05-23T02:00:00Z,57,5,121.578611,121.578611,41,23,2020-05-23,EPA-Songshan,3,4,籓カ,1.3,15,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,,3,25.0632,,41,▆,Datong,33,,ユ硄代,1,39,11,25.0632,1.39,2020-05-23T02:00:00Z,,10,121.513311,121.513311,,74,2020-05-23,EPA-Datong,3,16,籓カ,1.9,16,02:00:00,
,EPA_COPY,2020-05-23 10:00,1,,,22.565747,,,砞称蝴臔,Daliao,,糳,代,,,,22.564136,,2020-05-23T02:00:00Z,,,120.425081,120.425311,,,2020-05-23,EPA-Daliao,3,,蔼动カ,,51,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.6,2,24.982528,36,18,▆,Tucheng,3.7,,代,0.3,41,2,24.982528,0.33,2020-05-23T02:00:00Z,254,5,121.451861,121.451861,44,22,2020-05-23,EPA-Tucheng,3,1,穝カ,1.1,5,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,1.7,1,23.756389,30,6.4,▆,Zhushan,2.8,λ,代,0.3,17,11,23.756389,0.35,2020-05-23T02:00:00Z,336,10,120.677306,120.677306,17,9.2,2020-05-23,EPA-Zhushan,3,19,玭щ郡,1.3,69,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,0.7,2,22.627392,19,23,▆,Fengshan,4.5,获,ユ硄代,0.4,23,10,22.627392,0.72,2020-05-23T02:00:00Z,294,13,120.358083,120.358083,25,28,2020-05-23,EPA-Fengshan,3,13,蔼动カ,2.3,50,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,0.9,1,22.733667,25,13,▆,Nanzi,2.4,罚标,代,0.3,31,11,22.733667,0.46,2020-05-23T02:00:00Z,331,18,120.328289,120.328289,22,16,2020-05-23,EPA-Nanzi,3,22,蔼动カ,2,53,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,5.6,2,23.717533,51,3.1,▆,Taixi,0.4,籓﹁,穨代,0.2,35,4,23.717533,0.15,2020-05-23T02:00:00Z,17,8,120.202842,120.202842,38,3.6,2020-05-23,EPA-Taixi,3,7,冻狶郡,1,41,02:00:00,
11,EPA_COPY,2020-05-23 10:00,1,0.5,2,22.608711,19,22,▆,Fuxing,3.4,確砍,ユ硄代,0.5,34,10,22.608711,0.77,2020-05-23T02:00:00Z,160,14,120.312017,120.312017,24,25,2020-05-23,EPA-Fuxing,3,14,蔼动カ,2.3,71,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,0.8,3,24.995368,29,13,▆,Taoyuan,2,堕,代,0.3,29,6,24.995667,0.4,2020-05-23T02:00:00Z,304,5,121.304383,121.304417,31,15,2020-05-23,EPA-Taoyuan,3,2,堕カ,2.1,17,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,2.6,2,24.900142,47,6.2,▆,Hukou,0.8,打,代,0.2,45,3,24.900142,0.2,2020-05-23T02:00:00Z,37,5,121.038653,121.038653,49,7,2020-05-23,EPA-Hukou,3,3,穝λ郡,1.7,22,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,2.5,1,22.523108,32,7.5,▆,Chaozhou,0.6,奸,代,0.2,34,8,22.523108,0.27,2020-05-23T02:00:00Z,307,8,120.561175,120.561175,37,8.1,2020-05-23,EPA-Chaozhou,3,10,狥郡,1.4,60,02:00:00,
1,EPA_COPY,2020-05-23 10:00,1,,1,25.182722,45,0.9,▆,Yangming,0.5,锭,そ堕代,0.1,46,,25.182722,0.13,2020-05-23T02:00:00Z,,5,121.529583,121.529583,50,1.4,2020-05-23,EPA-Yangming,3,0,籓カ,1.1,64,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,1.4,2,22.757506,22,14,▆,Qiaotou,4.2,爵繷,璉春代,0.4,21,12,22.757506,0.51,2020-05-23T02:00:00Z,219,16,120.305689,120.305689,23,18,2020-05-23,EPA-Qiaotou,3,22,蔼动カ,1.5,48,02:00:00,
9,EPA_COPY,2020-05-23 10:00,1,1.2,2,22.674861,25,11,▆,Zuoying,2.7,オ犁,代,0.3,29,8,22.674861,0.41,2020-05-23T02:00:00Z,293,14,120.292917,120.292917,23,14,2020-05-23,EPA-Zuoying,3,8,蔼动カ,1.9,54,02:00:00,
