SiteAddr,SiteName,adf_status,app,area,c_d0,c_d0_method,date,device_id,fw_ver,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,hcho,model,name,odm,s_d0,s_d1,s_d2,s_g1,s_g8,s_gg,s_h0,s_t0,time,timestamp
臺南市南化區南化里17號,臺南市市立南化國小,0,AirBox,,18.71,Theil-Sen/30/18.89,2020-05-24,08BEAC0A06FA,v1.06,2.0,1.0,23.04414428,120.4703868,9.0,0,AI-1003WN,,acelink.edimax,33.0,38.0,19.0,0.0,0.0,0.0,100.0,27.3,01:37:24,2020-05-24T01:37:24Z
臺中市新社區復盛里中和街三段國中巷10號,臺中市立新社高中,0,AirBox,,90.05,LR/30/11.85,2020-05-24,08BEAC0A005A,v1.06,2.0,1.0,24.1780836,120.8208018,9.0,0,AI-1003WN,,acelink.edimax,12.0,14.0,6.0,0.0,0.0,0.0,85.0,26.8,01:34:50,2020-05-24T01:34:50Z
臺中市和平區天輪里東關路二段天輪巷42號,臺中市立白冷國小,0,AirBox,,100.12,LR/30/20.77,2020-05-24,08BEAC0A005C,v1.06,2.0,1.0,24.1834371,120.930137,9.0,0,AI-1003WN,,acelink.edimax,11.0,12.0,5.0,0.0,0.0,0.0,83.0,27.1,01:35:29,2020-05-24T01:35:29Z
桃園市蘆竹區仁愛路二段1號,桃園市南崁高中,0,AirBox,,9.29,BRR/30/6.41,2020-05-24,08BEAC0A06FE,v1.06,2.0,1.0,25.0526567986,121.297135279,9.0,0,AI-1003WN,,acelink.edimax,14.0,15.0,9.0,0.0,0.0,0.0,88.0,27.5,01:36:43,2020-05-24T01:36:43Z
N/A,新北市平溪國小,,AirBox,new_taipei,5.06,LR/14/10.53,2020-05-24,74DA38F7C5DA,,2.0,1.0,25.027,121.737,9.0,,,新北市平溪國小,,7.0,8.0,4.0,,,,100.0,24.0,01:35:35,2020-05-24T01:35:35Z
N/A,74DA38EBF5C8,,AirBox,miaoli,N/A,N/A,2020-05-24,74DA38EBF5C8,,2.0,1.0,24.98,121.247,9.0,,,A045,,11.0,12.0,7.0,,,,65.0,28.75,01:34:24,2020-05-24T01:34:24Z
N/A,74DA38ED0424,,AirBox,NA,23.99,LR/7/0.36,2020-05-24,74DA38ED0424,,2.0,1.0,24.435,118.314,9.0,,,金門高中教務處,,7.0,7.0,5.0,,,,82.0,25.5,01:32:26,2020-05-24T01:32:26Z
雲林縣斗六市保庄里保長路一五五號,雲林縣縣立保長國小,0,AirBox,,98.87,Theil-Sen/21/2.91,2020-05-24,08BEAC0A0124,v1.06,2.0,1.0,23.7054975,120.5172688,9.0,0,AI-1003WN,,acelink.edimax,59.0,72.0,33.0,0.0,0.0,0.0,100.0,28.0,01:35:34,2020-05-24T01:35:34Z
N/A,74DA38F7C146,,AirBox,new_taipei,10.62,BRR/14/8.73,2020-05-24,74DA38F7C146,,2.0,1.0,24.944,121.5,9.0,,,僑愛七路,,6.0,7.0,3.0,,,,65.0,32.25,01:34:52,2020-05-24T01:34:52Z
臺中市霧峰區桐林里民生路675號,臺中市立桐林國小,0,AirBox,,10.51,BRR/30/13.56,2020-05-24,08BEAC0A0126,v1.06,2.0,1.0,24.065881,120.735768,9.0,0,AI-1003WN,,acelink.edimax,19.0,21.0,10.0,0.0,0.0,0.0,80.0,28.7,01:36:23,2020-05-24T01:36:23Z
